year,city,country,avg_temp,global_temp
1901,Bern,Switzerland,6.17,8.54
1902,Bern,Switzerland,6.48,8.30
1903,Bern,Switzerland,6.73,8.22
1904,Bern,Switzerland,7.25,8.09
1905,Bern,Switzerland,6.50,8.23
1906,Bern,Switzerland,6.77,8.38
1907,Bern,Switzerland,6.67,7.95
1908,Bern,Switzerland,6.18,8.19
1909,Bern,Switzerland,5.97,8.18
1910,Bern,Switzerland,6.62,8.22
1911,Bern,Switzerland,7.43,8.18
1912,Bern,Switzerland,6.35,8.17
1913,Bern,Switzerland,6.94,8.30
1914,Bern,Switzerland,6.59,8.59
1915,Bern,Switzerland,6.54,8.59
1916,Bern,Switzerland,6.96,8.23
1917,Bern,Switzerland,6.03,8.02
1918,Bern,Switzerland,6.91,8.13
1919,Bern,Switzerland,6.20,8.38
1920,Bern,Switzerland,7.39,8.36
1921,Bern,Switzerland,7.76,8.57
1922,Bern,Switzerland,6.22,8.41
1923,Bern,Switzerland,7.12,8.42
1924,Bern,Switzerland,6.39,8.51
1925,Bern,Switzerland,6.69,8.53
1926,Bern,Switzerland,7.37,8.73
1927,Bern,Switzerland,7.03,8.52
1928,Bern,Switzerland,7.41,8.63
1929,Bern,Switzerland,6.43,8.24
1930,Bern,Switzerland,7.42,8.63
1931,Bern,Switzerland,6.13,8.72
1932,Bern,Switzerland,6.72,8.71
1933,Bern,Switzerland,6.32,8.34
1934,Bern,Switzerland,7.73,8.63
1935,Bern,Switzerland,6.81,8.52
1936,Bern,Switzerland,7.08,8.55
1937,Bern,Switzerland,7.27,8.70
1938,Bern,Switzerland,7.02,8.86
1939,Bern,Switzerland,6.66,8.76
1940,Bern,Switzerland,5.75,8.76
1941,Bern,Switzerland,6.00,8.77
1942,Bern,Switzerland,6.54,8.73
1943,Bern,Switzerland,7.74,8.76
1944,Bern,Switzerland,6.59,8.85
1945,Bern,Switzerland,7.48,8.58
1946,Bern,Switzerland,7.18,8.68
1947,Bern,Switzerland,7.82,8.80
1948,Bern,Switzerland,7.65,8.75
1949,Bern,Switzerland,7.85,8.59
1950,Bern,Switzerland,7.52,8.37
1951,Bern,Switzerland,7.28,8.63
1952,Bern,Switzerland,6.98,8.64
1953,Bern,Switzerland,7.40,8.87
1954,Bern,Switzerland,6.48,8.56
1955,Bern,Switzerland,6.68,8.63
1956,Bern,Switzerland,5.74,8.28
1957,Bern,Switzerland,7.22,8.73
1958,Bern,Switzerland,7.16,8.77
1959,Bern,Switzerland,7.84,8.73
1960,Bern,Switzerland,7.14,8.58
1961,Bern,Switzerland,8.04,8.80
1962,Bern,Switzerland,6.21,8.75
1963,Bern,Switzerland,6.09,8.86
1964,Bern,Switzerland,7.21,8.41
